"ExpireTime","RaidId","AllyCode","Name","Score","Rank"
"10/23/2023 17:39:57 +00:00","kraytdragon",938743519,"Chikiller",2669726,27
"10/23/2023 17:39:57 +00:00","kraytdragon",443495965,"Verage Valoor",3401804,14
"10/23/2023 17:39:57 +00:00","kraytdragon",492564869,"OwningXylophone",3570955,12
"10/23/2023 17:39:57 +00:00","kraytdragon",452238138,"Yosh",843174,50
"10/23/2023 17:39:57 +00:00","kraytdragon",768488681,"Tranced",4389810,8
"10/23/2023 17:39:57 +00:00","kraytdragon",256121811,"JHang",3025131,22
"10/23/2023 17:39:57 +00:00","kraytdragon",197788324,"Skaar",4536236,6
"10/23/2023 17:39:57 +00:00","kraytdragon",685711659,"MINI DarthAzazel",4558099,5
"10/23/2023 17:39:57 +00:00","kraytdragon",862389575,"Enigma",5164026,2
"10/23/2023 17:39:57 +00:00","kraytdragon",834874213,"BobbyMarshal",2216462,33
"10/23/2023 17:39:57 +00:00","kraytdragon",133674987,"Tani Mayse",2243410,32
"10/23/2023 17:39:57 +00:00","kraytdragon",585576166,"Patrick4",3113029,21
"10/23/2023 17:39:57 +00:00","kraytdragon",394321369,"Javin Fis",2548582,28
"10/23/2023 17:39:57 +00:00","kraytdragon",749275383,"Dava",3122635,20
"10/23/2023 17:39:57 +00:00","kraytdragon",446172192,"Q Ryker",1350000,43
"10/23/2023 17:39:57 +00:00","kraytdragon",478966819,"Lambert",3018724,23
"10/23/2023 17:39:57 +00:00","kraytdragon",643373276,"Avatany",1280015,45
"10/23/2023 17:39:57 +00:00","kraytdragon",381676275,"Marl Jewel",1800000,36
"10/23/2023 17:39:57 +00:00","kraytdragon",175993797,"El Jefe",3235036,17
"10/23/2023 17:39:57 +00:00","kraytdragon",214224828,"JakeY",2708334,24
"10/23/2023 17:39:57 +00:00","kraytdragon",312333279,"Excessive Fist",1965744,34
"10/23/2023 17:39:57 +00:00","kraytdragon",825371335,"Nomad",4293657,9
