CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score,SpecialResults
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,945343361,Falen Lacer,Fallen Lacer#4294,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,517437864,Chelli,Klaud the Bod#1794,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,879666349,Skcampy,skcampy#3655,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,299834132,DonKeyHoeTae,â¦donkeyhoetaeâ©#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,285458979,OhMyPretzel,ohmypretzel,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,788557913,s0da p0pinski,s0da_p0pinski#0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,778628584,Bobandy,bobandy8960#0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,341125679,8,8........#0588,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,741436451,Rensalaer,Rensalaer#5984,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,482555984,TheMonkeyBuddha,â¦mâ—nkðŸ‡¨ðŸ‡¦â©#5843,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,611865263,Salvare,Salvare#2619,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,452956267,Zazztrain,zazztrain#0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,473794447,ItzBerndern,ItzBerndern#5396,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,715487269,C2,kitsura,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,295928884,Akbahr,akbahr#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,363639736,FateHydro,EricE#9019,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,863697863,Mega Kicagemon,orthodoxrebel#0000,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,944998814,Philadelphia Collins,_philadelphiacollins#0000,7,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,665525861,Laseracid,â¦laseracidâ©#0000,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,741489737,Mc,Mc#4119,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,275475314,SithKebab,pooba#0000,16,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict02,453925665,N7 Tesla,n7tesla#0000,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,178927387,Mr Blargh,Blaaaarrrrrrggggghhhhh#1496,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,716951122,MINI Mace Dymond,dymo0000,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,262663538,Daggo,Daggo#4474,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,235598485,rockoffanddie,rockoffanddie#5252,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,729835146,Yania May,YaniaMay#7722,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,885421384,Thessa Odai,Thessa Odai#0111,2,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,879666349,Skcampy,skcampy#3655,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,299834132,DonKeyHoeTae,â¦donkeyhoetaeâ©#0000,5,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,285458979,OhMyPretzel,ohmypretzel,1,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,788557913,s0da p0pinski,s0da_p0pinski#0000,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,778628584,Bobandy,bobandy8960#0000,10,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,846356518,CT69420,Fancytomato22#7624,3,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,341125679,8,8........#0588,4,
1702836006000,t05D,unit_donated_zone_tb3_mixed_phase02_conflict03,472927571,DocWho619,docwhoSD#3664,2,
